Income  , Kidhome, Teenhome, Recency, MntWines, MntFruits, MntMeatProducts, MntFishProducts, MntSweetProducts, MntGoldProds, NumDealsPurchases, NumWebPurchases, NumCatalogPurchases, NumStorePurchases, NumWebVisitsMonth, AcceptedCmp3, AcceptedCmp4, AcceptedCmp5, AcceptedCmp1, AcceptedCmp2, Complain, Response, Age, Customer_Days, Total_Spending, Total_Purchases, Children, Living_With, Family_Size, Is_Parent, Education_Level, Cluster
 58138.0,       0,        0,      58,      635,        88,             546,             172,               88,           88,                 3,               8,                  10,                 4,                 7,            0,            0,            0,            0,            0,        0,        1,  57,           663,           1617,              25,        0, Alone      ,           1,         0, Graduate       ,       2
 46344.0,       1,        1,      38,       11,         1,               6,               2,                1,            6,                 2,               1,                   1,                 2,                 5,            0,            0,            0,            0,            0,        0,        0,  60,           113,             27,               6,        2, Alone      ,           3,         1, Graduate       ,       1
 71613.0,       0,        0,      26,      426,        49,             127,             111,               21,           42,                 1,               8,                   2,                10,                 4,            0,            0,            0,            0,            0,        0,        0,  49,           312,            776,              21,        0, Partner    ,           2,         0, Graduate       ,       2
 26646.0,       1,        0,      26,       11,         4,              20,              10,                3,            5,                 2,               2,                   0,                 4,                 6,            0,            0,            0,            0,            0,        0,        0,  30,           139,             53,               8,        1, Partner    ,           3,         1, Graduate       ,       1
 58293.0,       1,        0,      94,      173,        43,             118,              46,               27,           15,                 5,               5,                   3,                 6,                 5,            0,            0,            0,            0,            0,        0,        0,  33,           161,            422,              19,        1, Partner    ,           3,         1, Postgraduate   ,       0
 62513.0,       0,        1,      16,      520,        42,              98,               0,               42,           14,                 2,               6,                   4,                10,                 6,            0,            0,            0,            0,            0,        0,        0,  47,           293,            716,              22,        1, Partner    ,           3,         1, Postgraduate   ,       0
 55635.0,       0,        1,      34,      235,        65,             164,              50,               49,           27,                 4,               7,                   3,                 7,                 6,            0,            0,            0,            0,            0,        0,        0,  43,           593,            590,              21,        1, Alone      ,           2,         1, Graduate       ,       0
 33454.0,       1,        0,      32,       76,        10,              56,               3,                1,           23,                 2,               4,                   0,                 4,                 8,            0,            0,            0,            0,            0,        0,        0,  29,           417,            169,              10,        1, Partner    ,           3,         1, Postgraduate   ,       3
 30351.0,       1,        0,      19,       14,         0,              24,               3,                3,            2,                 1,               3,                   0,                 2,                 9,            0,            0,            0,            0,            0,        0,        1,  40,           388,             46,               6,        1, Partner    ,           3,         1, Postgraduate   ,       1
  5648.0,       1,        1,      68,       28,         0,               6,               1,                1,           13,                 1,               1,                   0,                 0,                20,            1,            0,            0,            0,            0,        0,        0,  64,           108,             49,               2,        2, Partner    ,           4,         1, Postgraduate   ,       1
